codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0557;Centro cultura della legalità democratica;Regione Toscana;Piazza Duomo, 10;Regione;Specializzata;True;False;Firenze;222;43,7753146;11,2562174
IT-FI0559;Biblioteca dell'Istituto di ricerche economiche e sociali della Toscana. IRES;Istituto di ricerche economiche e sociali della Toscana;Lungarno Colombo 66;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;223;43,7655853;11,2775864
IT-FI0561;Biblioteca BIBLIA. Associazione laica di cultura biblica;BIBLIA. Associazione laica di cultura biblica;Via A. da Settimello 129;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;224;43,8487277;11,1835018
IT-FI0562;Biblioteca dell'Istituto socialista di studi storici;Istituto di studi storici;Via P. Toscanelli 6;Accademie, associazioni, fondazioni, istituti (pubblici);NON SPECIFICATA;;;Firenze;225;43,7852738;11,2611981
IT-FI0563;Biblioteca dell'Accademia nazionale di entomologia;Accademia nazionale di entomologia;Via di Lanciola 12;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;226;43,7334564;11,2537366
IT-FI0564;Biblioteca del Dipartimento di scienze e tecnologie alimentari e microbiologiche. Sezione di industrie e tecnologie alimentari dell'Università degli studi di Firenze;Università degli studi di Firenze. Dipartimento di scienze e tecnologie alimentari e microbiologiche;Via Donizetti 6;Universita' statali;Istituto di insegnamento superiore;;;Firenze;227;43,7843559;11,2273235
IT-FI0567;Biblioteca Il Torrione al 334;Il Torrione al 334;Via di Brozzi 334;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;Firenze;228;43,7940214;11,1612412
IT-FI0568;Biblioteca della Fondazione Spadolini Nuova Antologia;Fondazione Spadolini Nuova Antologia;Via Pian dei Giullari 139;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;229;43,7446544;11,2667721
IT-FI0569;Biblioteca del Centro di documentazione sull'Antifascismo e la Resistenza nell'empolese e bassa Valdelsa;Comune di Empoli;Via Cavour 36;Comune;Specializzata;;False;Firenze;230;43,7180537;10,9464496
IT-FI0570;Biblioteca della Società toscana di orticoltura;Società toscana di orticoltura;Via delle Terme 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;231;43,7699001;11,2525963
IT-FI0574;Archivio della SS. Annunziata;;Piazza della Santissima Annunziata;NON SPECIFICATA;NON SPECIFICATA;;;Firenze;232;43,7764241;11,2605861
IT-FI0575;Biblioteca di scienze. Fondo librario dell'Orto botanico - Giardino dei semplici dell'Università degli studi di Firenze;Università degli studi di Firenze;Via Pier Antonio Micheli 3;Universita' statali;Istituto di insegnamento superiore;;True;Firenze;233;43,7793644;11,2617193999999
IT-FI0577;Coordinamento centrale delle biblioteche - Università degli studi di Firenze;Università degli studi di Firenze;Piazza S. Marco 4;NON SPECIFICATA;NON SPECIFICATA;;;Firenze;234;43,777674;11,25944
IT-FI0583;Biblioteca del Centro interuniversitario di ingegneria delle microonde per applicazioni spaziali;Politecnico di Torino e Università degli studi di Ancona, Bologna, Firenze, Palermo e Roma Tor Vergata;Via C. Lombroso 6/17;Universita' statali;Istituto di insegnamento superiore;;;Firenze;235;43,7967567;11,2429026
IT-FI0584;Fondazione Biblioteche della Cassa di Risparmio;Cassa di risparmio di Firenze SpA;Piazza San Paolino 14;Accademie, associazioni, fondazioni, istituti, societa' (privati);Importante non specializzata;;;Firenze;236;43,7727169;11,2476769
IT-FI0590;Biblioteca comunale Leonardiana. Biblioteca dei ragazzi;Comune di Vinci;Piazza della Pace;Comune;Pubblica;;False;Firenze;237;43,72863;10,93442
IT-FI0592;Biblioteca del Conservatorio SS. Annunziata;;Via Chiara 76;Enti ecclesiastici;Pubblica;;True;Firenze;238;43,7205992;10,9459202
IT-FI0593;Biblioteca della Corte di appello di Firenze;Corte di appello di Firenze;Via Cavour 57;Aziende ed amministrazioni dello stato ad ordinamento autonomo;NON SPECIFICATA;;;Firenze;239;43,7765879;11,2571911
IT-FI0594;Biblioteca privata Guzzini;Famiglia Guzzini;Via Ottavio Rinuccini, 33;NON SPECIFICATA;NON SPECIFICATA;;True;Firenze;240;43,785067;11,2295716
